-l,-f,-j,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/nci,33553445,3930630,11.7,15.476787328720093,0.11889004707336426
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/webster,41458703,13899451,33.5,21.593623161315918,0.3874225616455078
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/reymont,6627202,2144506,32.4,3.3048672676086426,0.06693649291992188
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/dickens,10192446,4376501,42.9,5.149883508682251,0.12998294830322266
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/mozilla,51220480,20099599,39.2,23.975852012634277,0.34873032569885254
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/osdb,10085684,4920670,48.8,4.611771583557129,0.08620166778564453
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/x-ray,8474240,6147064,72.5,3.877340316772461,0.11188936233520508
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/samba,21606400,6119187,28.3,9.768396854400635,0.12644648551940918
0,ctx,16,32768,32768,32768,0,0,datasets/silesia/sao,7251944,5493762,75.8,3.352234363555908,0.0717003345489502
0,ctx,16,32768,32768,32768,0,0,AVERAGE,18781209.09090909,6748679.7272727275,35.9,9.025262074037032,0.14713155139576306
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/ooffice,6152192,3233693,52.6,2.8239426612854004,0.06310772895812988
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/mr,9970564,3831212,38.4,4.525727033615112,0.08654403686523438
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/nci,33553445,3609590,10.8,15.02861738204956,0.11110734939575195
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/webster,41458703,13575284,32.7,18.640899419784546,0.36246323585510254
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/reymont,6627202,2069108,31.2,3.0149757862091064,0.05949139595031738
0,ctx,16,32768,32768,32768,0,1,datasets/silesia/dickens,10192446,4302764,42.2,4.608490228652954,0.11700797080993652
