-l,-f,-j,-k,--bs,--ws,--fl,--mm,--lm,filename,orig_size,enc_size,ratio,enc_time,dec_time
0,turbo2,16,16,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,554.228440284729,1.993340015411377
0,turbo2,16,16,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,554.228440284729,1.993340015411377
0,turbo2,16,16,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,541.3815054893494,1.9876618385314941
0,turbo2,16,16,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,541.3815054893494,1.9876618385314941
0,turbo2,16,16,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,805.1439673900604,2.0981082916259766
0,turbo2,16,16,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,805.1439673900604,2.0981082916259766
0,turbo2,16,16,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,877.852118730545,1.9472782611846924
0,turbo2,16,16,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,877.852118730545,1.9472782611846924
0,turbo2,16,16,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,1136.9502656459808,2.03375506401062
0,turbo2,16,16,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,1136.9502656459808,2.03375506401062
0,turbo2,8,2,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,70.06527423858643,1.9853041172027588
0,turbo2,8,2,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,70.06527423858643,1.9853041172027588
0,turbo2,8,2,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,86.04110789299011,2.1064467430114746
0,turbo2,8,2,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,86.04110789299011,2.1064467430114746
0,turbo2,8,2,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,126.04493975639343,1.9011414051055908
0,turbo2,8,2,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,126.04493975639343,1.9011414051055908
0,turbo2,8,2,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,176.05311846733093,2.088437795639038
0,turbo2,8,2,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,176.05311846733093,2.088437795639038
0,turbo2,8,2,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,322.3070454597473,1.9767160415649414
0,turbo2,8,2,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,322.3070454597473,1.9767160415649414
0,turbo2,8,2,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,483.4508767127991,2.164839267730713
0,turbo2,8,2,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,483.4508767127991,2.164839267730713
0,turbo2,8,2,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,607.5387318134308,1.8921833038330078
0,turbo2,8,2,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,607.5387318134308,1.8921833038330078
0,turbo2,8,2,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,822.8074276447296,2.1301088333129883
0,turbo2,8,2,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,822.8074276447296,2.1301088333129883
0,turbo2,8,4,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,97.18048048019409,2.0906178951263428
0,turbo2,8,4,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,97.18048048019409,2.0906178951263428
0,turbo2,8,4,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,137.05350518226624,2.2176811695098877
0,turbo2,8,4,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,137.05350518226624,2.2176811695098877
0,turbo2,8,4,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,155.05430436134338,2.0444142818450928
0,turbo2,8,4,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,155.05430436134338,2.0444142818450928
0,turbo2,8,4,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,213.07071948051453,2.211430311203003
0,turbo2,8,4,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,213.07071948051453,2.211430311203003
0,turbo2,8,4,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,292.7345869541168,1.8619067668914795
0,turbo2,8,4,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,292.7345869541168,1.8619067668914795
0,turbo2,8,4,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,404.5169825553894,1.9576940536499023
0,turbo2,8,4,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,404.5169825553894,1.9576940536499023
0,turbo2,8,4,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,606.7748258113861,1.9451582431793213
0,turbo2,8,4,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,606.7748258113861,1.9451582431793213
0,turbo2,8,4,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,685.5774838924408,2.043955087661743
0,turbo2,8,4,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,685.5774838924408,2.043955087661743
0,turbo2,8,8,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,207.05960416793823,1.9716711044311523
0,turbo2,8,8,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,207.05960416793823,1.9716711044311523
0,turbo2,8,8,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,284.0715637207031,2.1282169818878174
0,turbo2,8,8,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,284.0715637207031,2.1282169818878174
0,turbo2,8,8,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,236.07062435150146,1.9537873268127441
0,turbo2,8,8,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,236.07062435150146,1.9537873268127441
0,turbo2,8,8,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,316.1066734790802,2.07346510887146
0,turbo2,8,8,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,316.1066734790802,2.07346510887146
0,turbo2,8,8,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,324.8494791984558,1.993210792541504
0,turbo2,8,8,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,324.8494791984558,1.993210792541504
0,turbo2,8,8,16777216,16777216,16777216,0,2,datasets/enwik/enwik8,100000000,29757398,29.757398,461.5324788093567,2.0776820182800293
0,turbo2,8,8,16777216,16777216,16777216,0,2,AVERAGE,100000000.0,29757398.0,29.757398,461.5324788093567,2.0776820182800293
0,turbo2,8,8,33554432,33554432,33554432,0,1,datasets/enwik/enwik8,100000000,29249363,29.249363,574.5372197628021,2.0478429794311523
0,turbo2,8,8,33554432,33554432,33554432,0,1,AVERAGE,100000000.0,29249363.0,29.249363,574.5372197628021,2.0478429794311523
0,turbo2,8,8,33554432,33554432,33554432,0,2,datasets/enwik/enwik8,100000000,29084403,29.084403,805.0128717422485,2.141791582107544
0,turbo2,8,8,33554432,33554432,33554432,0,2,AVERAGE,100000000.0,29084403.0,29.084403,805.0128717422485,2.141791582107544
0,turbo2,8,16,4194304,4194304,4194304,0,1,datasets/enwik/enwik8,100000000,31386068,31.386068,392.1130120754242,2.048276901245117
0,turbo2,8,16,4194304,4194304,4194304,0,1,AVERAGE,100000000.0,31386068.0,31.386068,392.1130120754242,2.048276901245117
0,turbo2,8,16,4194304,4194304,4194304,0,2,datasets/enwik/enwik8,100000000,31162584,31.162584,545.1306211948395,2.154827833175659
0,turbo2,8,16,4194304,4194304,4194304,0,2,AVERAGE,100000000.0,31162584.0,31.162584,545.1306211948395,2.154827833175659
0,turbo2,8,16,8388608,8388608,8388608,0,1,datasets/enwik/enwik8,100000000,30665480,30.66548,452.10260677337646,1.984943151473999
0,turbo2,8,16,8388608,8388608,8388608,0,1,AVERAGE,100000000.0,30665480.0,30.66548,452.10260677337646,1.984943151473999
0,turbo2,8,16,8388608,8388608,8388608,0,2,datasets/enwik/enwik8,100000000,30462868,30.462868,620.1429767608643,2.0797173976898193
0,turbo2,8,16,8388608,8388608,8388608,0,2,AVERAGE,100000000.0,30462868.0,30.462868,620.1429767608643,2.0797173976898193
0,turbo2,8,16,16777216,16777216,16777216,0,1,datasets/enwik/enwik8,100000000,29940534,29.940534,519.1195683479309,1.840491533279419
0,turbo2,8,16,16777216,16777216,16777216,0,1,AVERAGE,100000000.0,29940534.0,29.940534,519.1195683479309,1.840491533279419
