file,format,block_size,window_size,future_limit,max_matches,len3_dist_bits,len4_dist_bits,len5_dist_bits,len6_dist_bits,len7_dist_bits,lenx_dist_bits,lenx_len_bits
big_files/enwik6,fse,32768,8192,4,4,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,4,16,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,4,128,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,4,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,4,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,8,1,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,8,4,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,8,16,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,8,128,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,8,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,8,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,16,1,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,16,4,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,16,16,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,16,128,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,16,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,16,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,32,1,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,32,4,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,32,16,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,32,128,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,32,1024,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,32,999999999,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,64,1,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,64,4,0,0,0,0,0,0,0
big_files/enwik6,fse,32768,8192,64,16,0,0,0,0,0,0,0
