filename,compressor,level,orig_size,enc_size,ratio_percent,enc_time,dec_time
AVERAGE,brotli,5,100000000.0,31772726.0,31.772726000000002,2.6275546970000008,0.23281419200000641
datasets/enwik/enwik8,brotli,6,100000000,30969374,30.969374,3.4272977850000004,0.21934709700000354
AVERAGE,brotli,6,100000000.0,30969374.0,30.969374,3.4272977850000004,0.21934709700000354
datasets/enwik/enwik8,brotli,7,100000000,30198759,30.198758999999995,5.825150413999999,0.22315625499999925
AVERAGE,brotli,7,100000000.0,30198759.0,30.198758999999995,5.825150413999999,0.22315625499999925
datasets/enwik/enwik8,brotli,8,100000000,29507343,29.507343000000002,11.209460364000009,0.22362407800000028
AVERAGE,brotli,8,100000000.0,29507343.0,29.507343000000002,11.209460364000009,0.22362407800000028
datasets/enwik/enwik8,brotli,9,100000000,28887786,28.887786,25.309008622999997,0.324011664000011
AVERAGE,brotli,9,100000000.0,28887786.0,28.887786,25.309008622999997,0.324011664000011
datasets/enwik/enwik8,brotli,10,100000000,26232030,26.23203,86.04124548600001,0.3345386170000211
AVERAGE,brotli,10,100000000.0,26232030.0,26.23203,86.04124548600001,0.3345386170000211
datasets/enwik/enwik8,brotli,11,100000000,25742001,25.742001,149.036410178,0.26153448799999524
AVERAGE,brotli,11,100000000.0,25742001.0,25.742001,149.036410178,0.26153448799999524
datasets/enwik/enwik8,xz,0,100000000,37004276,37.004276000000004,0.40580138600000737,0.09417819399999416
AVERAGE,xz,0,100000000.0,37004276.0,37.004276000000004,0.40580138600000737,0.09417819399999416
datasets/enwik/enwik8,xz,1,100000000,33496276,33.496276,0.8094053180000174,0.0975554030000012
AVERAGE,xz,1,100000000.0,33496276.0,33.496276,0.8094053180000174,0.0975554030000012
datasets/enwik/enwik8,xz,2,100000000,32198828,32.198828,1.9428006809999943,0.10884148799999593
AVERAGE,xz,2,100000000.0,32198828.0,32.198828,1.9428006809999943,0.10884148799999593
datasets/enwik/enwik8,xz,3,100000000,31406040,31.40604,5.416372250999984,0.13498064500004148
AVERAGE,xz,3,100000000.0,31406040.0,31.40604,5.416372250999984,0.13498064500004148
datasets/enwik/enwik8,xz,4,100000000,28232696,28.232696,5.809238952999976,0.13324227200001815
AVERAGE,xz,4,100000000.0,28232696.0,28.232696,5.809238952999976,0.13324227200001815
datasets/enwik/enwik8,xz,5,100000000,26805108,26.805108,12.783054128000003,0.20713146899998947
AVERAGE,xz,5,100000000.0,26805108.0,26.805108,12.783054128000003,0.20713146899998947
datasets/enwik/enwik8,xz,6,100000000,26665156,26.665156,13.14977249499998,0.21069883900003106
AVERAGE,xz,6,100000000.0,26665156.0,26.665156,13.14977249499998,0.21069883900003106
datasets/enwik/enwik8,xz,7,100000000,25923264,25.923264000000003,27.330655592000028,0.35846663300003456
AVERAGE,xz,7,100000000.0,25923264.0,25.923264000000003,27.330655592000028,0.35846663300003456
datasets/enwik/enwik8,xz,8,100000000,25213824,25.213824000000002,56.49150587899999,0.6465040250000129
AVERAGE,xz,8,100000000.0,25213824.0,25.213824000000002,56.49150587899999,0.6465040250000129
datasets/enwik/enwik8,xz,9,100000000,24865252,24.865251999999998,60.987288577000015,0.6931924130000198
AVERAGE,xz,9,100000000.0,24865252.0,24.865251999999998,60.987288577000015,0.6931924130000198
datasets/enwik/enwik8,7z,1,100000000,33406857,33.406857,0.6255580609999924,0.09644640299995899
AVERAGE,7z,1,100000000.0,33406857.0,33.406857,0.6255580609999924,0.09644640299995899
datasets/enwik/enwik8,7z,3,100000000,31329473,31.329473000000004,2.4651359619999766,0.18498412500002814
AVERAGE,7z,3,100000000.0,31329473.0,31.329473000000004,2.4651359619999766,0.18498412500002814
datasets/enwik/enwik8,7z,5,100000000,25399268,25.399268000000003,42.39349503099993,0.6955896759999405
AVERAGE,7z,5,100000000.0,25399268.0,25.399268000000003,42.39349503099993,0.6955896759999405
datasets/enwik/enwik8,7z,7,100000000,24799487,24.799487,49.869257188000006,0.7122230539999919
AVERAGE,7z,7,100000000.0,24799487.0,24.799487,49.869257188000006,0.7122230539999919
datasets/enwik/enwik8,7z,9,100000000,24799487,24.799487,46.19796100499991,0.7150150850000045
AVERAGE,7z,9,100000000.0,24799487.0,24.799487,46.19796100499991,0.7150150850000045
datasets/enwik/enwik8,lz4,1,100000000,57285984,57.285984,0.07841520600004515,0.059966461999920284
AVERAGE,lz4,1,100000000.0,57285984.0,57.285984,0.07841520600004515,0.059966461999920284
datasets/enwik/enwik8,lz4,2,100000000,48732519,48.732519,0.08531191899999158,0.06063246500002606
AVERAGE,lz4,2,100000000.0,48732519.0,48.732519,0.08531191899999158,0.06063246500002606
datasets/enwik/enwik8,lz4,3,100000000,43893379,43.893378999999996,0.14497699399998965,0.06575815700000476
AVERAGE,lz4,3,100000000.0,43893379.0,43.893378999999996,0.14497699399998965,0.06575815700000476
datasets/enwik/enwik8,lz4,4,100000000,43035377,43.035377000000004,0.15941492400008883,0.05970617299999503
AVERAGE,lz4,4,100000000.0,43035377.0,43.035377000000004,0.15941492400008883,0.05970617299999503
datasets/enwik/enwik8,lz4,5,100000000,42600163,42.600163,0.20003034500007288,0.061879600999986906
AVERAGE,lz4,5,100000000.0,42600163.0,42.600163,0.20003034500007288,0.061879600999986906
datasets/enwik/enwik8,lz4,6,100000000,42405978,42.405978,0.22978223999996317,0.06047888599994167
AVERAGE,lz4,6,100000000.0,42405978.0,42.405978,0.22978223999996317,0.06047888599994167
datasets/enwik/enwik8,lz4,7,100000000,42325939,42.325939,0.2564769849999493,0.05824137100000826
AVERAGE,lz4,7,100000000.0,42325939.0,42.325939,0.2564769849999493,0.05824137100000826
datasets/enwik/enwik8,lz4,8,100000000,42293044,42.293044,0.27106639999999516,0.06656073300007392
