compressor | file | ratio in % | compression time | decompression time | compression memory in MB | decompression memory in MB
zstd_14 | enwik8 | 29.862780 | 5.70 | 0.13 | 1402.69 | 219.74
zstd_15 | enwik8 | 29.544530 | 7.29 | 0.14 | 1498.69 | 219.74
zstd_16 | enwik8 | 28.467173 | 7.90 | 0.13 | 1307.55 | 219.74
zstd_17 | enwik8 | 27.709040 | 19.10 | 0.12 | 1353.58 | 159.74
zstd_18 | enwik8 | 27.333983 | 21.15 | 0.21 | 1355.42 | 223.74
zstd_19 | enwik8 | 26.944227 | 24.05 | 0.16 | 1451.42 | 223.74
zstd_20 | enwik8 | 25.953970 | 69.24 | 0.17 | 3129.18 | 247.74
zstd_21 | enwik8 | 25.486727 | 79.67 | 0.19 | 5849.68 | 279.74
zstd_22 | enwik8 | 25.272471 | 91.37 | 0.23 | 11546.68 | 310.86
lzmpo_0 | enwik8 | 28.056053 | 18.16 | 2.59 | 4781.92 | 418.95
lzmpo_1 | enwik8 | 26.388558 | 95.56 | 2.63 | 4765.23 | 380.34
lzmpo_2 | enwik8 | 26.172387 | 30.10 | 2.53 | 4763.30 | 375.82
lzmpo_3 | enwik8 | 25.516080 | 72.39 | 2.47 | 4757.89 | 363.19
lzmpo_4 | enwik8 | 25.319430 | 73.19 | 2.36 | 6627.77 | 360.11
lzmpo_5 | enwik8 | 25.272864 | 90.42 | 2.37 | 6627.77 | 358.88
lzmpo_6 | enwik8 | 25.258352 | 125.65 | 2.35 | 6627.77 | 358.61
lzmpo_7 | enwik8 | 25.253447 | 11532.30 | 2.38 | 4755.94 | 358.57
brotli_q0 | enwik8.2 | 41.946979 | 1.02 | 1.02 | 6.88 | 29.75
brotli_q1 | enwik8.2 | 39.583489 | 1.02 | 1.02 | 7.88 | 29.75
brotli_q2 | enwik8.2 | 36.925154 | 1.52 | 0.51 | 38.93 | 6.12
brotli_q3 | enwik8.2 | 36.659893 | 2.03 | 0.51 | 38.64 | 6.12
brotli_q4 | enwik8.2 | 33.337898 | 3.04 | 0.51 | 118.32 | 6.56
brotli_q5 | enwik8.2 | 31.705141 | 5.07 | 0.51 | 99.86 | 22.78
brotli_q6 | enwik8.2 | 30.891291 | 7.09 | 0.51 | 100.68 | 22.78
brotli_q7 | enwik8.2 | 30.114319 | 12.65 | 0.51 | 103.84 | 22.78
brotli_q8 | enwik8.2 | 29.409291 | 24.28 | 1.01 | 110.96 | 22.85
brotli_q9 | enwik8.2 | 28.773974 | 58.15 | 1.02 | 128.61 | 22.85
brotli_q10 | enwik8.2 | 26.083306 | 191.50 | 1.02 | 241.11 | 22.55
brotli_q11 | enwik8.2 | 25.594717 | 344.20 | 1.02 | 235.93 | 22.43
xz_0 | enwik8.2 | 36.989786 | 1.02 | 0.51 | 1251.15 | 18.27
xz_1 | enwik8.2 | 33.452498 | 2.56 | 0.51 | 1448.57 | 21.66
xz_2 | enwik8.2 | 32.137010 | 5.11 | 0.51 | 1693.14 | 26.60
xz_3 | enwik8.2 | 31.340562 | 10.74 | 0.51 | 2074.07 | 36.44
xz_4 | enwik8.2 | 28.176244 | 11.28 | 0.51 | 2314.07 | 36.06
xz_5 | enwik8.2 | 26.745490 | 19.21 | 0.51 | 1712.87 | 55.11
xz_6 | enwik8.2 | 26.603790 | 19.20 | 0.51 | 1712.87 | 55.07
xz_7 | enwik8.2 | 25.861474 | 39.39 | 1.01 | 1420.76 | 344.91
xz_8 | enwik8.2 | 25.145376 | 83.32 | 1.01 | 1274.71 | 327.38
xz_9 | enwik8.2 | 24.446856 | 172.37 | 2.02 | 1137.69 | 318.03
zstd_1 | enwik8.2 | 40.662499 | 0.51 | 0.51 | 1.73 | 151.36
